name,date,Geo_Location,country,Host,Tissue_Specimen_Source,access_country
LC817237,2019,Zambia,Zambia,Crocodylus niloticus,,"LC817237				|	Zambia"
PP862727,2011/11/23,Spain,Spain,,,"PP862727	|	Spain"
PP104378,2023/08/11,Italy: Veneto,Italy,Culex pipiens,,"PP104378	|	Italy"
PP104379,2023/08/24,Italy: Veneto,Italy,Culex pipiens,,"PP104379	|	Italy"
PP104380,2023/07/15,Italy: EmiliaRomagna,Italy,Culex pipiens,,"PP104380	|	Italy"
PP104381,2023/09/08,Italy: Veneto,Italy,Culex pipiens,,"PP104381	|	Italy"
PP104382,2023/08/09,Italy: Veneto,Italy,Corvidae,,"PP104382	|	Italy"
OQ357819,2022,Spain,Spain,Culex perexiguus,,"OQ357819	|	Spain"
OQ357820,2020,Spain,Spain,Culex perexiguus,,"OQ357820	|	Spain"
OQ357821,2022,Spain,Spain,Culex perexiguus,,"OQ357821	|	Spain"
OQ357822,2022,Spain,Spain,Culex perexiguus,,"OQ357822	|	Spain"
OR728658,2023,Pakistan,Pakistan,Homo sapiens,blood,"OR728658	|	Pakistan"
OR472391,2021/08/30,Spain,Spain,Anopheles atroparvus,,"OR472391	|	Spain"
OQ689696,2022/10/21,Italy: Sicily,Italy,Equus caballus,,"OQ689696	|	Italy"
OQ689697,2022/10/12,Italy: Sicily,Italy,Equus caballus,,"OQ689697	|	Italy"
OQ552605,2022/11/01,Italy: Campania region,Italy,Equus caballus,brain,"OQ552605	|	Italy"
OP850021,2022/09/12,Italy:Lombardy,Italy,Corvus cornix,,"OP850021	|	Italy"
OP850022,2022/08/12,Italy:Veneto,Italy,Pica pica,,"OP850022	|	Italy"
OP850023,2022/10/03,Italy:Campania,Italy,Equus caballus,,"OP850023	|	Italy"
OP734262,2022/06/21,Italy: Veneto,Italy,Culex pipiens,,"OP734262	|	Italy"
OP734263,2022/07/07,Italy: Veneto,Italy,Culex pipiens,,"OP734263	|	Italy"
OP734264,2022/06/28,Italy: Veneto,Italy,Pica pica,,"OP734264	|	Italy"
OP734265,2022/07/07,Italy: Veneto,Italy,Phalacrocorax carbo,,"OP734265	|	Italy"
OP734266,2022/07/12,Italy: Emilia Romagna,Italy,Culex pipiens,,"OP734266	|	Italy"
OP734267,2022/07/12,Italy: Emilia Romagna,Italy,Culex pipiens,,"OP734267	|	Italy"
OP734268,2022/07/07,Italy: Veneto,Italy,Culex pipiens,,"OP734268	|	Italy"
OP734269,2022/07/18,Italy: Veneto,Italy,,,"OP734269	|	Italy"
OP734270,2022/07/19,Italy: Emilia Romagna,Italy,Culex pipiens,,"OP734270	|	Italy"
OP734271,2022/07/13,Italy: Veneto,Italy,Corvus cornix,,"OP734271	|	Italy"
OP734272,2022/07/04,Italy: Veneto,Italy,Passer domesticus,,"OP734272	|	Italy"
OP734273,2022/07/21,Italy: Friuli Venezia Giulia,Italy,Culex pipiens,,"OP734273	|	Italy"
OP734274,2022/07/14,Italy: Veneto,Italy,Culex pipiens,,"OP734274	|	Italy"
OP422646,2017/03/01,Brazil,Brazil,Culex,,"OP422646	|	Brazil"
OP617270,2018,Turkey,Turkey,Homo sapiens,,"OP617270	|	Turkey"
ON813210,2013,Senegal: Barkedji region,Senegal,Culex neavei,,"ON813210	|	Senegal"
ON813211,2016,Senegal: Barkedji region,Senegal,Culex poicilipes,,"ON813211	|	Senegal"
ON813212,2016,Senegal: Barkedji region,Senegal,Culex neavei,,"ON813212	|	Senegal"
ON813213,2016,Senegal: Barkedji region,Senegal,Culex bitaeniorhynchus,,"ON813213	|	Senegal"
ON813214,2012,Senegal: Barkedji region,Senegal,Culex neavei,,"ON813214	|	Senegal"
ON813215,2012,Senegal: Barkedji region,Senegal,Culex perfuscus,,"ON813215	|	Senegal"
ON813216,2012,Senegal: Barkedji region,Senegal,Culex quinquefasciatus,,"ON813216	|	Senegal"
ON782107,2019/01/10,"Brazil: Abaiara, Ceara",Brazil,Equus caballus,brain,"ON782107	|	Brazil"
ON782108,2018/04/21,"Brazil: Itagiba, Bahia",Brazil,Equus caballus,,"ON782108	|	Brazil"
ON782109,2019/07/22,"Brazil: Ipira, Bahia",Brazil,Equus caballus,,"ON782109	|	Brazil"
OP643863,2020,Spain,Spain,Culex perexiguus,,"OP643863	|	Spain"
OP643864,2021,Spain,Spain,Culex perexiguus,,"OP643864	|	Spain"
OP846971,1989,Senegal,Senegal,Culex poicilipes,,"OP846971	|	Senegal"
OP846973,1993,Senegal,Senegal,Culex neavei,,"OP846973	|	Senegal"
OP846974,1996,Senegal,Senegal,Culex neavei,,"OP846974	|	Senegal"
OP846975,1996,Senegal,Senegal,Aedes dalzieli,,"OP846975	|	Senegal"
OP846977,1990,Senegal,Senegal,Culex antennatus,,"OP846977	|	Senegal"
OP846978,2012,Senegal,Senegal,Culex neavei,,"OP846978	|	Senegal"
OP846979,2013,Senegal,Senegal,Culex neavei,,"OP846979	|	Senegal"
OP846980,2017,Senegal,Senegal,Culex neavei,,"OP846980	|	Senegal"
OP846981,2018,Senegal,Senegal,Homo sapiens,,"OP846981	|	Senegal"
OP846982,2016,Senegal,Senegal,Culex perfuscus,,"OP846982	|	Senegal"
OP609790,2022/07/04,Italy,Italy,Homo sapiens,,"OP609790	|	Italy"
OP609791,2022,Italy,Italy,Homo sapiens,,"OP609791	|	Italy"
OP609792,2022,Italy,Italy,Homo sapiens,,"OP609792	|	Italy"
OP609793,2022,Italy,Italy,Homo sapiens,,"OP609793	|	Italy"
OP609794,2022,Italy,Italy,Homo sapiens,,"OP609794	|	Italy"
OP609795,2022,Italy,Italy,Homo sapiens,,"OP609795	|	Italy"
OP609796,2022,Italy,Italy,Homo sapiens,,"OP609796	|	Italy"
OP609797,2022,Italy,Italy,Homo sapiens,,"OP609797	|	Italy"
OP609798,2022,Italy,Italy,Homo sapiens,,"OP609798	|	Italy"
OP609799,2022/07/01,Italy,Italy,Larus michahellis,,"OP609799	|	Italy"
OP609800,2022/07/04,Italy,Italy,Passer domesticus,,"OP609800	|	Italy"
OP609801,2022/07/08,Italy,Italy,Turdus merula,,"OP609801	|	Italy"
OP609802,2022/07/12,Italy,Italy,Athene noctua,,"OP609802	|	Italy"
OP609803,2022/07/14,Italy,Italy,Pica pica,,"OP609803	|	Italy"
OP609804,2022/07/20,Italy,Italy,Garrulus glandarius,,"OP609804	|	Italy"
OP609805,2022/07/20,Italy,Italy,Columba palumbus,,"OP609805	|	Italy"
OP609806,2022/07/29,Italy,Italy,Egretta garzetta,,"OP609806	|	Italy"
OP609807,2022/07/29,Italy,Italy,Pica pica,,"OP609807	|	Italy"
OP609808,2022/07/29,Italy,Italy,Pica pica,,"OP609808	|	Italy"
OP609809,2022/08/03,Italy,Italy,Corvus cornix,,"OP609809	|	Italy"
OP609810,2022/08/04,Italy,Italy,Culex pipiens,,"OP609810	|	Italy"
